Year,Sex,Age_band,Population
1980,Persons,15-19,460171
1980,Persons,20-24,407701
1980,Persons,25-29,353111
1980,Persons,30-34,364940
1980,Persons,35-39,304399
1980,Persons,40-44,295706
1980,Persons,45-49,292988
1980,Persons,5-9,368198
1980,Persons,50-54,297501
1980,Persons,55-59,300387
1980,Persons,60-64,252898
1980,Persons,65-69,253794
1980,Persons,70-74,211198
1980,Persons,75-79,146228
1980,Persons,80+,126132
1981,Persons,0-4,317908
1981,Persons,10-14,432712
1981,Persons,15-19,459314
1981,Persons,20-24,415432
1981,Persons,25-29,355317
1981,Persons,30-34,368401
1981,Persons,35-39,310168
1981,Persons,40-44,292742
1981,Persons,45-49,290564
1981,Persons,5-9,347713
1981,Persons,50-54,294669
1981,Persons,55-59,294980
1981,Persons,60-64,260421
1981,Persons,65-69,248152
1981,Persons,70-74,211394
1981,Persons,75-79,149112
1981,Persons,80+,131201
1982,Persons,0-4,324298
1982,Persons,10-14,418592
1982,Persons,15-19,457509
1982,Persons,20-24,423327
1982,Persons,25-29,361953
1982,Persons,30-34,351880
1982,Persons,35-39,331294
1982,Persons,40-44,292046
1982,Persons,45-49,288096
1982,Persons,5-9,327745
1982,Persons,50-54,293274
1982,Persons,55-59,289370
1982,Persons,60-64,269563
1982,Persons,65-69,239415
1982,Persons,70-74,211335
1982,Persons,75-79,150597
1982,Persons,80+,134246
1983,Persons,0-4,328507
1983,Persons,10-14,400934
1983,Persons,15-19,452228
1983,Persons,20-24,430269
1983,Persons,25-29,368318
1983,Persons,30-34,343956
1983,Persons,35-39,342089
1983,Persons,40-44,294214
1983,Persons,45-49,288735
1983,Persons,5-9,314315
1983,Persons,50-54,290236
1983,Persons,55-59,286698
1983,Persons,60-64,278317
1983,Persons,65-69,227266
1983,Persons,70-74,210476
1983,Persons,75-79,153022
1983,Persons,80+,138540
1984,Persons,0-4,327542
1984,Persons,10-14,380642
1984,Persons,15-19,444036
1984,Persons,20-24,437748
1984,Persons,25-29,377189
1984,Persons,30-34,341179
1984,Persons,35-39,349500
1984,Persons,40-44,297360
1984,Persons,45-49,289567
1984,Persons,5-9,310661
1984,Persons,50-54,287077
1984,Persons,55-59,284356
1984,Persons,60-64,286864
1984,Persons,65-69,216600
1984,Persons,70-74,210088
1984,Persons,75-79,155002
1984,Persons,80+,143469
1985,Persons,0-4,325255
1985,Persons,10-14,362257
1985,Persons,15-19,430783
1985,Persons,20-24,442531
1985,Persons,25-29,386661
1985,Persons,30-34,341534
1985,Persons,35-39,356952
1985,Persons,40-44,298771
1985,Persons,45-49,289626
1985,Persons,5-9,310556
1985,Persons,50-54,284325
1985,Persons,55-59,283295
1985,Persons,60-64,277586
1985,Persons,65-69,223693
1985,Persons,70-74,208835
1985,Persons,75-79,156808
1985,Persons,80+,148422
1986,Persons,0-4,323327
1986,Persons,10-14,343154
1986,Persons,15-19,422926
1986,Persons,20-24,439966
1986,Persons,25-29,394316
1986,Persons,30-34,344418
1986,Persons,35-39,360550
1986,Persons,40-44,304435
1986,Persons,45-49,286480
1986,Persons,5-9,313040
1986,Persons,50-54,281625
1986,Persons,55-59,280790
1986,Persons,60-64,273161
1986,Persons,65-69,230513
1986,Persons,70-74,204348
1986,Persons,75-79,156761
1986,Persons,80+,151950
1987,Persons,0-4,322152
1987,Persons,10-14,323828
1987,Persons,15-19,409898
1987,Persons,20-24,437063
1987,Persons,25-29,400695
1987,Persons,30-34,350620
1987,Persons,35-39,343819
1987,Persons,40-44,325554
1987,Persons,45-49,285999
1987,Persons,5-9,318745
1987,Persons,50-54,279829
1987,Persons,55-59,279973
1987,Persons,60-64,268579
1987,Persons,65-69,239671
1987,Persons,70-74,197998
1987,Persons,75-79,157688
1987,Persons,80+,156909
1988,Persons,0-4,322460
1988,Persons,10-14,310507
1988,Persons,15-19,391983
1988,Persons,20-24,429443
1988,Persons,25-29,403111
1988,Persons,30-34,355718
1988,Persons,35-39,335795
1988,Persons,40-44,335952
1988,Persons,45-49,287987
1988,Persons,5-9,322042
1988,Persons,50-54,280864
1988,Persons,55-59,277902
1988,Persons,60-64,267105
1988,Persons,65-69,247974
1988,Persons,70-74,188539
1988,Persons,75-79,158141
1988,Persons,80+,161917
1989,Persons,0-4,325061
1989,Persons,10-14,308112
1989,Persons,15-19,372397
1989,Persons,20-24,420993
1989,Persons,25-29,407746
1989,Persons,30-34,364098
1989,Persons,35-39,333738
1989,Persons,40-44,344102
1989,Persons,45-49,291895
1989,Persons,5-9,321653
1989,Persons,50-54,282563
1989,Persons,55-59,275948
1989,Persons,60-64,266538
1989,Persons,65-69,256775
1989,Persons,70-74,180599
1989,Persons,75-79,158845
1989,Persons,80+,167127
1990,Persons,0-4,324816
1990,Persons,10-14,309582
1990,Persons,15-19,355867
1990,Persons,20-24,412587
1990,Persons,25-29,412955
1990,Persons,30-34,375060
1990,Persons,35-39,335126
1990,Persons,40-44,352061
1990,Persons,45-49,293613
1990,Persons,5-9,321510
1990,Persons,50-54,283133
1990,Persons,55-59,273823
1990,Persons,60-64,266221
1990,Persons,65-69,249372
1990,Persons,70-74,187817
1990,Persons,75-79,158042
1990,Persons,80+,169685
1991,Persons,0-4,324103
1991,Persons,10-14,313221
1991,Persons,15-19,337447
1991,Persons,20-24,408704
1991,Persons,25-29,411566
1991,Persons,30-34,383914
1991,Persons,35-39,339370
1991,Persons,40-44,356750
1991,Persons,45-49,300036
1991,Persons,5-9,320400
1991,Persons,50-54,280484
1991,Persons,55-59,272080
1991,Persons,60-64,264807
1991,Persons,65-69,246381
1991,Persons,70-74,194713
1991,Persons,75-79,155820
1991,Persons,80+,173534
1992,Persons,0-4,325062
1992,Persons,10-14,318638
1992,Persons,15-19,320300
1992,Persons,20-24,397793
1992,Persons,25-29,411253
1992,Persons,30-34,391076
1992,Persons,35-39,347452
1992,Persons,40-44,341640
1992,Persons,45-49,321978
1992,Persons,5-9,320263
1992,Persons,50-54,280707
1992,Persons,55-59,271170
1992,Persons,60-64,264495
1992,Persons,65-69,242714
1992,Persons,70-74,202730
1992,Persons,75-79,151390
1992,Persons,80+,176959
1993,Persons,0-4,322978
1993,Persons,10-14,322487
1993,Persons,15-19,308521
1993,Persons,20-24,385772
1993,Persons,25-29,410072
1993,Persons,30-34,398185
1993,Persons,35-39,355621
1993,Persons,40-44,335775
1993,Persons,45-49,334332
1993,Persons,5-9,323466
1993,Persons,50-54,283826
1993,Persons,55-59,273229
1993,Persons,60-64,262801
1993,Persons,65-69,241411
1993,Persons,70-74,209889
1993,Persons,75-79,144127
1993,Persons,80+,179968
1994,Persons,0-4,322217
1994,Persons,10-14,321558
1994,Persons,15-19,306355
1994,Persons,20-24,371732
1994,Persons,25-29,406419
1994,Persons,30-34,404522
1994,Persons,35-39,365071
1994,Persons,40-44,334646
1994,Persons,45-49,342763
1994,Persons,5-9,325840
1994,Persons,50-54,288003
1994,Persons,55-59,274905
1994,Persons,60-64,260887
1994,Persons,65-69,240384
1994,Persons,70-74,216660
1994,Persons,75-79,137995
1994,Persons,80+,182253
1995,Persons,0-4,318326
1995,Persons,10-14,320657
1995,Persons,15-19,307839
1995,Persons,20-24,357280
1995,Persons,25-29,398224
1995,Persons,30-34,408374
1995,Persons,35-39,374895
1995,Persons,40-44,335724
1995,Persons,45-49,350732
1995,Persons,5-9,324381
1995,Persons,50-54,290098
1995,Persons,55-59,275537
1995,Persons,60-64,259592
1995,Persons,65-69,240343
1995,Persons,70-74,210921
1995,Persons,75-79,145014
1995,Persons,80+,185753
1996,Persons,0-4,310083
1996,Persons,10-14,319167
1996,Persons,15-19,310447
1996,Persons,20-24,340447
1996,Persons,25-29,391424
1996,Persons,30-34,406627
1996,Persons,35-39,382132
1996,Persons,40-44,339815
1996,Persons,45-49,355173
1996,Persons,5-9,323540
1996,Persons,50-54,296607
1996,Persons,55-59,272999
1996,Persons,60-64,258713
1996,Persons,65-69,239204
1996,Persons,70-74,208528
1996,Persons,75-79,151233
1996,Persons,80+,186051
1997,Persons,0-4,302705
1997,Persons,10-14,320169
1997,Persons,15-19,315234
1997,Persons,20-24,322052
1997,Persons,25-29,378990
1997,Persons,30-34,405780
1997,Persons,35-39,388562
1997,Persons,40-44,347412
1997,Persons,45-49,340147
1997,Persons,5-9,323775
1997,Persons,50-54,318212
1997,Persons,55-59,273212
1997,Persons,60-64,258064
1997,Persons,65-69,239909
1997,Persons,70-74,206046
1997,Persons,75-79,158406
1997,Persons,80+,184665
1998,Persons,0-4,296391
1998,Persons,10-14,323384
1998,Persons,15-19,318316
1998,Persons,20-24,309443
1998,Persons,25-29,363331
1998,Persons,30-34,402281
1998,Persons,35-39,394317
1998,Persons,40-44,355099
1998,Persons,45-49,334198
1998,Persons,5-9,320702
1998,Persons,50-54,330088
1998,Persons,55-59,276440
1998,Persons,60-64,260501
1998,Persons,65-69,239765
1998,Persons,70-74,205719
1998,Persons,75-79,164503
1998,Persons,80+,182592
1999,Persons,0-4,290311
1999,Persons,10-14,324619
1999,Persons,15-19,317675
1999,Persons,20-24,307382
1999,Persons,25-29,346028
1999,Persons,30-34,396509
1999,Persons,35-39,399086
1999,Persons,40-44,363114
1999,Persons,45-49,332566
1999,Persons,5-9,318450
1999,Persons,50-54,337997
1999,Persons,55-59,280771
1999,Persons,60-64,262370
1999,Persons,65-69,238709
1999,Persons,70-74,205711
1999,Persons,75-79,170164
1999,Persons,80+,180488
2000,Persons,0-4,283213
2000,Persons,10-14,322884
